Time,ERP
-1000,0.5060943
-996,0.851287
-992,1.105717
-988,1.236444
-984,1.310048
-980,1.426529
-976,1.629652
-972,1.87145
-968,2.056189
-964,2.11866
-960,2.065619
-956,1.949557
-952,1.808954
-948,1.638462
-944,1.419081
-940,1.175733
-936,0.9979469
-932,0.9908044
-928,1.190337
-924,1.517727
-920,1.820205
-916,1.972979
-912,1.961976
-908,1.879573
-904,1.838238
-900,1.875474
-896,1.930663
-892,1.910832
-888,1.785638
-884,1.625735
-880,1.548749
-876,1.617403
-872,1.777552
-868,1.890603
-864,1.835962
-860,1.600094
-856,1.280591
-852,1.00382
-848,0.8251368
-844,0.6925008
-840,0.5005986
-836,0.1885871
-832,-0.1988032
-828,-0.5351456
-824,-0.7019283
-820,-0.6754198
-816,-0.5480443
-812,-0.4718531
-808,-0.5667247
-804,-0.854569
-800,-1.257133
-796,-1.649944
-792,-1.933279
-788,-2.077654
-784,-2.123464
-780,-2.141951
-776,-2.184604
-772,-2.250799
-768,-2.292451
-764,-2.252486
-760,-2.113081
-756,-1.920022
-752,-1.762025
-748,-1.713773
-744,-1.780747
-740,-1.888336
-736,-1.929454
-732,-1.840925
-728,-1.652972
-724,-1.471812
-720,-1.404032
-716,-1.477096
-712,-1.615322
-708,-1.690165
-704,-1.607402
-700,-1.367441
-696,-1.058073
-692,-0.7924083
-688,-0.6423758
-684,-0.6137906
-680,-0.6684294
-676,-0.7617259
-672,-0.8608447
-668,-0.9367226
-664,-0.9531301
-660,-0.877826
-656,-0.7126809
-652,-0.5124065
-648,-0.3640634
-644,-0.3340549
-640,-0.4228626
-636,-0.5678974
-632,-0.6966384
-628,-0.7878691
-624,-0.8890538
-620,-1.073045
-616,-1.368995
-612,-1.72501
-608,-2.033592
-604,-2.197721
-600,-2.183292
-596,-2.019333
-592,-1.756337
-588,-1.428291
-584,-1.055147
-580,-0.677363
-576,-0.3781816
-572,-0.2566984
-568,-0.3626754
-564,-0.6463825
-560,-0.973442
