Time,ERP
-1000,-1.553416
-996,-1.409588
-992,-1.22292
-988,-1.0846
-984,-1.061249
-980,-1.106896
-976,-1.068725
-972,-0.7919667
-968,-0.245578
-964,0.4317225
-960,1.007662
-956,1.305693
-952,1.322333
-948,1.228896
-944,1.255328
-940,1.535188
-936,2.01484
-932,2.483557
-928,2.701442
-924,2.54415
-920,2.080277
-916,1.542431
-912,1.212766
-908,1.284862
-904,1.769526
-900,2.486851
-896,3.146274
-892,3.477963
-888,3.356519
-884,2.859468
-880,2.230922
-876,1.76582
-872,1.671951
-868,1.980103
-864,2.546706
-860,3.140325
-856,3.557781
-852,3.704649
-848,3.604111
-844,3.346109
-840,3.023156
-836,2.696968
-832,2.407156
-828,2.196839
-824,2.119935
-820,2.21608
-816,2.471684
-812,2.801895
-808,3.075977
-804,3.177319
-800,3.062656
-796,2.783215
-792,2.455421
-788,2.201604
-784,2.097624
-780,2.154374
-776,2.334012
-772,2.580468
-768,2.841566
-764,3.074411
-760,3.242957
-756,3.322216
-752,3.313138
-748,3.25579
-744,3.222186
-740,3.282728
-736,3.462785
-732,3.719506
-728,3.960033
-724,4.095033
-720,4.094884
-716,4.00991
-712,3.937866
-708,3.958279
-704,4.077934
-700,4.225237
-696,4.296523
-692,4.220448
-688,3.995218
-684,3.67579
-680,3.326376
-676,2.978136
-672,2.624488
-668,2.252945
-664,1.880067
-660,1.552899
-656,1.310135
-652,1.134935
-648,0.9445285
-644,0.6366283
-640,0.1671452
-636,-0.3963574
-632,-0.8907722
-628,-1.142045
-624,-1.067117
-620,-0.7259242
-616,-0.2878908
-612,0.06531977
-608,0.237666
-604,0.2570344
-600,0.2363278
-596,0.2899024
-592,0.4622131
-588,0.7107709
-584,0.9454767
-580,1.090653
-576,1.12769
-572,1.09632
-568,1.062425
-564,1.123799
-560,1.195239
-556,1.303692
-552,1.427701
-548,1.534444
-544,1.600232
-540,1.628408
-536,1.649543
-532,1.699787
-528,1.791117
-524,1.897508
-520,1.971485
-516,1.980795
-512,1.935543
-508,1.880771
-504,1.857557
-500,1.863508
-496,1.846776
-492,1.742171
-488,1.523724
-484,1.23286
-480,0.9580085
-476,0.7786966
-472,0.7155089
-468,0.7230415
-464,0.7291371
-460,0.6880928
-456,0.6073094
-452,0.5311068
-448,0.4998167
-444,0.5191536
-440,0.5626363
-436,0.6005366
-432,0.6267769
-428,0.6583757
-424,0.7078046
-420,0.7542881
-416,0.7431118
-412,0.6194053
-408,0.3741452
-404,0.06810547
-400,-0.187186
-396,-0.2840076
-392,-0.1769725
-388,0.09026198
-384,0.4068545
-380,0.6520736
-376,0.7536147
-372,0.7140611
-368,0.5938582
-364,0.4655643
-360,0.3701114
-356,0.3025987
-352,0.2343572
-348,0.1516791
-344,0.078334
-340,0.06101192
-336,0.1267091
-332,0.2462816
-328,0.3378792
-324,0.3162525
-320,0.1571158
-316,-0.07206356
-312,-0.2454198
-308,-0.2610568
-304,-0.1164429
-300,0.0804927
-296,0.1779962
-292,0.08071215
-288,-0.1857502
-284,-0.491388
-280,-0.685598
-276,-0.6860879
-272,-0.5107613
-268,-0.2377198
-264,0.06549872
-260,0.3827759
-256,0.7309898
-252,1.107038
-248,1.455172
-244,1.689918
-240,1.758003
-236,1.684312
-232,1.556893
-228,1.457482
-224,1.393273
-220,1.289
-216,1.050318
-212,0.6488214
-208,0.1574058
-204,-0.2972393
-200,-0.6298373
-196,-0.8616728
-192,-1.098306
-188,-1.43195
-184,-1.844267
-180,-2.190866
-176,-2.289153
-172,-2.051163
-168,-1.564369
-164,-1.057245
-160,-0.7678194
-156,-0.8026927
-152,-1.08041
-148,-1.393807
-144,-1.545123
-140,-1.462626
-136,-1.226573
-132,-0.9974217
-128,-0.902531
-124,-0.9576396
-120,-1.06829
-116,-1.100735
-112,-0.9702478
-108,-0.6909442
-104,-0.3616545
-100,-0.1034557
-96,0.009400469
-92,-0.01538177
-88,-0.1038669
-84,-0.1691357
-80,-0.1684809
-76,-0.1303225
-72,-0.1347842
-68,-0.258897
-64,-0.5187547
-60,-0.8444697
-56,-1.106318
-52,-1.180828
-48,-1.020635
-44,-0.6871636
-40,-0.3247535
-36,-0.08819614
-32,-0.06312103
-28,-0.2236161
-24,-0.4504627
-20,-0.5986199
-16,-0.5746174
-12,-0.3798384
-8,-0.09701177
-4,0.1681602
0,0.3513871
4,0.4588373
8,0.543619
12,0.6484747
16,0.7578463
20,0.7975634
24,0.6874045
28,0.4118174
32,0.05601143
36,-0.225767
40,-0.296077
44,-0.1188341
48,0.2172385
52,0.5560616
56,0.7744464
60,0.8540428
64,0.872962
68,0.9247837
72,1.028863
76,1.104224
80,1.030747
84,0.7516531
88,0.3351609
92,-0.05873495
96,-0.2874029
100,-0.3300859
104,-0.3066084
108,-0.3922529
112,-0.6898565
116,-1.153593
120,-1.620203
124,-1.922534
128,-2.000161
132,-1.928235
136,-1.851169
140,-1.878812
144,-2.024088
148,-2.219461
152,-2.383545
156,-2.473907
160,-2.484437
164,-2.401828
168,-2.17462
172,-1.735585
176,-1.066088
180,-0.2465743
184,0.5587687
188,1.184051
192,1.555459
196,1.728582
200,1.842406
204,2.025425
208,2.322279
212,2.687959
216,3.041106
220,3.325372
224,3.531246
228,3.672698
232,3.753742
236,3.763861
240,3.707284
244,3.632688
248,3.623812
252,3.744962
256,3.979268
260,4.21221
264,4.283176
268,4.076309
272,3.590509
276,2.942487
280,2.304441
284,1.821339
288,1.559464
292,1.507297
296,1.610482
300,1.806225
304,2.03733
308,2.252795
312,2.413558
316,2.510124
320,2.57609
324,2.677377
328,2.874212
332,3.17892
336,3.542568
340,3.885631
344,4.152633
348,4.348499
352,4.525583
356,4.728447
360,4.937974
364,5.059852
368,4.972136
372,4.605051
376,4.001753
380,3.318317
384,2.757803
388,2.47307
392,2.491572
396,2.702679
400,2.914623
404,2.95267
408,2.749019
412,2.377087
416,2.009568
420,1.820539
424,1.885531
428,2.138026
432,2.409682
436,2.53002
440,2.422355
444,2.133699
448,1.781387
452,1.458881
456,1.173895
460,0.8665951
464,0.4915821
468,0.09377959
472,-0.1899621
476,-0.2142658
480,0.06559049
484,0.5439011
488,1.018601
492,1.314944
496,1.389444
500,1.338532
504,1.309765
508,1.388146
512,1.546043
516,1.69032
520,1.760311
524,1.790023
528,1.879446
532,2.096789
536,2.39342
540,2.607366
544,2.562787
548,2.196584
552,1.61924
556,1.063416
560,0.7535052
564,0.7823114
568,1.070751
572,1.42679
576,1.656063
580,1.652796
584,1.302833
588,0.9091998
592,0.4662111
596,0.4742858
600,0.2406622
604,0.1317518
608,0.1445387
612,0.2557698
616,0.4206488
620,0.571874
624,0.628431
628,0.5194322
632,0.2178896
636,-0.2320225
640,-0.7155991
644,-1.088642
648,-1.248105
652,-1.195279
656,-1.04667
660,-0.9726704
664,-1.092151
668,-1.389346
672,-1.714405
676,-1.708649
680,-1.567632
684,-1.219853
688,-0.8514077
692,-0.6529084
696,-0.6931984
700,-0.8816584
704,-1.045993
708,-1.064299
712,-0.9487162
716,-0.8171296
720,-0.7789888
724,-0.8305233
728,-0.8472663
732,-0.6830269
736,-0.2962811
740,0.1996931
744,0.6073652
748,0.7845636
752,0.7462815
756,0.6505504
760,0.6795869
764,0.9063894
768,1.132325
772,1.400296
776,1.478929
780,1.341047
784,1.070965
788,0.7925128
792,0.5837228
796,0.4407525
800,0.3081509
804,0.1403759
808,-0.05842777
812,-0.2440557
816,-0.3748165
820,-0.4452681
824,-0.4819007
828,-0.5082286
832,-0.5141002
836,-0.4593832
840,-0.3113266
844,-0.08507738
848,0.1480172
852,0.2957532
856,0.3018416
860,0.1842482
864,0.02730343
868,-0.06822957
872,-0.04446919
876,0.08244851
880,0.2368081
884,0.331609
888,0.319971
892,0.2202317
896,0.1030022
900,0.05078687
904,0.1142387
908,0.2884761
912,0.519962
916,0.7384325
920,0.6423133
924,0.8476714
928,1.048981
932,1.231465
936,1.398563
940,1.556309
944,1.690063
948,1.760609
952,1.733057
956,1.620253
960,1.500235
964,1.479489
968,1.616178
972,1.857236
976,2.044079
980,1.996454
984,1.62433
988,0.9907604
992,0.2790523
996,-0.3145704
1000,-0.6871325
1004,-0.8608955
1008,-0.9263945
1012,-0.9505843
1016,-0.9274779
1020,-0.8083243
1024,-0.5783364
1028,-0.3063879
1032,-0.1167211
1036,-0.1764458
1040,-0.339637
1044,-0.4806403
1048,-0.480961
1052,-0.3159521
