2.2861,2.1897,2.0168,1.8235,1.6266,1.4638,1.4026,1.4953,1.7442,2.1329,2.6276,3.1448,3.5938,3.9295,4.1532,4.2842,4.3346,4.3001,4.1735,3.9826,3.8132,3.776,3.9376,4.2798,4.7044,5.0722,5.256,5.2102,4.9885,4.6907,4.402,4.1712,4.016,3.9333,3.9065,3.92,3.9613,4.0204,4.0765,4.1016,4.069,3.9722,3.8358,3.7043,3.6172,3.589,3.5989,3.6074,3.574,3.4631,3.2547,2.9353,2.4986,1.9508,1.3297,0.71054,0.21251,-0.046816,-0.019217,0.25284,0.68542,1.1917,1.7093,2.1981,2.6346,3.0089,3.3221,3.5829,3.8029,3.9915,4.1502,4.2727,4.349,4.3723,4.3418,4.2629,4.1413,3.9872,3.8086,3.6121
2.3172,2.2283,2.0592,1.8654,1.6668,1.5068,1.4594,1.5762,1.8483,2.2444,2.7209,3.203,3.6126,3.9123,4.1054,4.2134,4.253,4.2231,4.1163,3.9531,3.8043,3.7646,3.8943,4.1825,4.5481,4.8693,5.0302,4.9916,4.804,4.5602,4.3394,4.1789,4.0874,4.0482,4.0417,4.0506,4.0768,4.1203,4.1731,4.2097,4.2021,4.1407,4.0392,3.9327,3.8536,3.8099,3.7869,3.7518,3.6687,3.5126,3.2627,2.9065,2.4386,1.8666,1.2214,0.5808,0.063991,-0.20375,-0.15973,0.15982,0.64986,1.2129,1.7798,2.3119,2.7908,3.2097,3.5679,3.8691,4.1161,4.3109,4.453,4.54,4.5701,4.5444,4.4678,4.3475,4.1945,4.0152,3.8165,3.6043
2.3081,2.2261,2.062,1.8659,1.6586,1.4859,1.4273,1.5362,1.8056,2.2004,2.67,3.1335,3.5154,3.7817,3.9391,4.0139,4.0294,3.9911,3.8936,3.7503,3.6157,3.5657,3.6513,3.8687,4.1586,4.4225,4.5636,4.5451,4.4096,4.2374,4.0939,4.0104,3.9854,3.9955,4.0128,4.0261,4.0434,4.078,4.1294,4.1793,4.2021,4.1819,4.1244,4.0511,3.9823,3.9242,3.864,3.778,3.6418,3.4359,3.1473,2.7673,2.2905,1.72,1.0821,0.44494,-0.070826,-0.32788,-0.25428,0.1053,0.63983,1.2374,1.8303,2.3851,2.8881,3.334,3.7211,4.047,4.3093,4.5046,4.6296,4.6838,4.6708,4.5989,4.4796,4.3253,4.1452,3.9481,3.7396,3.5237
2.2609,2.1828,2.023,1.8248,1.6064,1.4122,1.3219,1.3954,1.6372,2.0241,2.5018,2.9736,3.3526,3.6043,3.7387,3.7865,3.7763,3.7202,3.6168,3.4771,3.3456,3.2853,3.339,3.5051,3.7376,3.958,4.0868,4.0886,3.997,3.8807,3.7912,3.7569,3.7708,3.8083,3.8382,3.8554,3.8699,3.9037,3.9588,4.0218,4.0677,4.0765,4.0489,3.9977,3.9364,3.8706,3.7881,3.6719,3.5061,3.2747,2.9719,2.5918,2.1304,1.5899,0.99835,0.41497,-0.05286,-0.28126,-0.20081,0.1538,0.67428,1.2572,1.836,2.3794,2.8753,3.319,3.7063,4.0339,4.2942,4.4811,4.5915,4.6272,4.5949,4.5057,4.3726,4.208,4.0236,3.8254,3.6183,3.4057
2.1418,2.068,1.9157,1.7154,1.4771,1.2394,1.0773,1.0621,1.2321,1.5994,2.1086,2.6222,3.0215,3.267,3.3746,3.3824,3.3274,3.232,3.1048,2.959,2.8291,2.7592,2.7757,2.8743,3.0236,3.1752,3.279,3.3098,3.2871,3.254,3.2444,3.2712,3.3234,3.3761,3.4087,3.4203,3.4338,3.4726,3.5457,3.6363,3.7162,3.7621,3.7659,3.7357,3.683,3.6089,3.5083,3.3689,3.1779,2.9329,2.6293,2.2673,1.8505,1.3901,0.90785,0.4586,0.11869,-0.032525,0.049582,0.34704,0.78781,1.2923,1.8025,2.2882,2.7375,3.1454,3.5073,3.8143,4.0577,4.2288,4.3233,4.3435,4.2989,4.2031,4.0708,3.9135,3.7415,3.5592,3.3694,3.1742
1.9565,1.8877,1.7458,1.545,1.2837,0.98814,0.72388,0.57325,0.62814,0.96778,1.5359,2.1273,2.5737,2.8265,2.9098,2.8712,2.7578,2.6058,2.4402,2.2835,2.1618,2.0956,2.0854,2.114,2.1651,2.2269,2.2933,2.3579,2.4195,2.4792,2.5486,2.6248,2.6983,2.7505,2.7743,2.7774,2.7903,2.8375,2.9264,3.0404,3.1516,3.2343,3.2759,3.2761,3.2378,3.1629,3.0467,2.8853,2.6793,2.4303,2.1469,1.8367,1.5075,1.1702,0.8482,0.5706,0.37716,0.3064,0.38098,0.59399,0.91355,1.2921,1.6897,2.0816,2.4549,2.801,3.112,3.3767,3.585,3.7292,3.8066,3.8211,3.7819,3.7015,3.5926,3.4664,3.3262,3.178,3.0237,2.8637
1.7736,1.7098,1.5786,1.3797,1.1004,0.7554,0.39812,0.11729,0.056772,0.37059,1.0036,1.6771,2.1738,2.4389,2.505,2.4273,2.2614,2.0564,1.8545,1.691,1.5863,1.536,1.5147,1.492,1.459,1.4378,1.468,1.562,1.6917,1.824,1.9428,2.0449,2.1233,2.1695,2.1802,2.1763,2.1867,2.2395,2.3378,2.468,2.6025,2.7131,2.7832,2.8062,2.7805,2.7076,2.5854,2.4163,2.2077,1.9692,1.7135,1.4524,1.1985,0.96662,0.7724,0.63184,0.55342,0.54168,0.60403,0.7482,0.96735,1.2413,1.5423,1.8482,2.1458,2.4272,2.6845,2.9046,3.0785,3.1981,3.2619,3.2757,3.2505,3.1977,3.1259,3.0393,2.9415,2.8314,2.7092,2.5757
1.4718,1.4171,1.3055,1.1137,0.81307,0.39981,-0.095005,-0.57973,-0.83046,-0.55614,0.19343,1.0016,1.5772,1.8636,1.9064,1.7721,1.5269,1.2402,0.98649,0.82494,0.76387,0.75652,0.73492,0.64757,0.49038,0.33274,0.29228,0.4207,0.64946,0.88491,1.0711,1.1985,1.266,1.2802,1.2562,1.2299,1.2362,1.2976,1.4147,1.5692,1.7329,1.8777,1.9816,2.033,2.0274,1.9609,1.8378,1.667,1.4639,1.252,1.05,0.87458,0.73909,0.65457,0.62248,0.63525,0.674,0.72034,0.77043,0.8357,0.93561,1.0722,1.2372,1.4185,1.6054,1.7882,1.9569,2.1008,2.2115,2.2876,2.3337,2.3584,2.3696,2.372,2.3665,2.3529,2.3241,2.2803,2.2202,2.1431
1.2034,1.1582,1.0661,0.88403,0.57197,0.11112,-0.48699,-1.1347,-1.547,-1.3029,-0.44994,0.46685,1.1002,1.4005,1.4249,1.2461,0.93875,0.58969,0.30176,0.15506,0.14517,0.18606,0.17508,0.043864,-0.20968,-0.48696,-0.60419,-0.46153,-0.15422,0.16256,0.40201,0.54095,0.58536,0.55537,0.49268,0.44392,0.44997,0.52003,0.64729,0.81081,0.98769,1.1553,1.2891,1.3697,1.3842,1.327,1.2035,1.0322,0.84129,0.65828,0.50843,0.40661,0.36123,0.3758,0.44625,0.55323,0.66202,0.73968,0.77648,0.79322,0.815,0.86125,0.93259,1.02,1.1144,1.2091,1.2958,1.3714,1.4296,1.4709,1.5033,1.5389,1.5868,1.6473,1.7119,1.7672,1.8058,1.8211,1.8109,1.7762
0.79314,0.76561,0.70669,0.54512,0.22793,-0.28147,-0.99676,-1.8434,-2.4634,-2.2542,-1.2691,-0.23153,0.45559,0.76004,0.75437,0.51896,0.13654,-0.2835,-0.59876,-0.70241,-0.6239,-0.5056,-0.49026,-0.66271,-1.0311,-1.4744,-1.723,-1.5856,-1.185,-0.76974,-0.47483,-0.33831,-0.34241,-0.44174,-0.56174,-0.63274,-0.62199,-0.54226,-0.41601,-0.25837,-0.075493,0.11655,0.28926,0.40831,0.4513,0.4075,0.29184,0.13557,-0.023705,-0.1464,-0.21081,-0.20961,-0.14404,-0.019187,0.15065,0.33628,0.49543,0.59097,0.612,0.57765,0.52485,0.47759,0.4418,0.41278,0.38479,0.3542,0.31999,0.28074,0.24156,0.21754,0.23085,0.29904,0.42306,0.58561,0.76043,0.924,1.0586,1.1583,1.222,1.2518
