-1.2037,-1.8399,-1.9814,-1.3688,-0.63905,-0.11739,0.15368,0.20487,0.13122,0.061018,0.071082,0.15727,0.26807,0.35462,0.4158,0.50305,0.66235,0.87252,1.0563,1.1465,1.1357,1.0756,1.0308,1.0263,1.0406,1.044,1.0322,1.042,1.1181,1.2685,1.4475,1.5857,1.6455,1.6305,1.5671,1.4864,1.4138,1.3606,1.3198,1.2633,1.1561,0.97288,0.71473,0.41364,0.12724,-0.09155,-0.20918,-0.22347,-0.15221,-0.017504,0.15586,0.34412,0.52348,0.67006,0.77364,0.83154,0.85735,0.87391,0.90012,0.93962,0.96978,0.96697,0.90433,0.76583,0.55034,0.27059,-0.042992,-0.35901,-0.61096,-0.72578,-0.66236,-0.4447,-0.14521,0.15895,0.41248,0.58365,0.67151,0.68261,0.63505,0.55078
-1.1324,-1.6562,-1.7565,-1.2228,-0.57821,-0.10165,0.15781,0.21315,0.13936,0.051885,0.025098,0.059729,0.114,0.15317,0.18891,0.2781,0.46272,0.71176,0.94036,1.0776,1.1124,1.0912,1.075,1.0889,1.1136,1.1202,1.1039,1.0974,1.149,1.2728,1.432,1.5613,1.6214,1.6139,1.5645,1.4996,1.4442,1.4065,1.379,1.3324,1.2317,1.0519,0.79455,0.49138,0.19654,-0.035173,-0.17246,-0.21237,-0.17305,-0.078378,0.046054,0.17796,0.29986,0.40061,0.474,0.52778,0.57445,0.62608,0.68642,0.74811,0.78857,0.78171,0.70761,0.55823,0.33777,0.059063,-0.26073,-0.576,-0.82824,-0.93824,-0.85507,-0.60196,-0.26186,0.076877,0.35439,0.54462,0.63926,0.65345,0.60812,0.52581
-1.0038,-1.3846,-1.4439,-1.0164,-0.48535,-0.071162,0.16933,0.22491,0.14662,0.037114,-0.032567,-0.057575,-0.067707,-0.082242,-0.071981,0.023861,0.23753,0.52412,0.79396,0.9774,1.0619,1.0868,1.1052,1.1392,1.1728,1.1802,1.1577,1.1359,1.163,1.2583,1.3946,1.5136,1.5789,1.5871,1.5587,1.5158,1.4799,1.4579,1.4408,1.4016,1.3077,1.1356,0.88689,0.59283,0.30329,0.070344,-0.080524,-0.15156,-0.15949,-0.12896,-0.078385,-0.023109,0.026128,0.065581,0.10225,0.14597,0.20724,0.28785,0.37729,0.45408,0.49913,0.4916,0.41907,0.27863,0.0754,-0.17963,-0.46678,-0.75425,-0.97907,-1.0622,-0.95358,-0.67699,-0.31501,0.043677,0.3378,0.53646,0.63926,0.6572,0.61157,0.52614
-0.88913,-1.1719,-1.2103,-0.86024,-0.41064,-0.043635,0.18081,0.23256,0.14866,0.023832,-0.073805,-0.13602,-0.1858,-0.23078,-0.23142,-0.12729,0.10381,0.40765,0.69407,0.89884,1.0119,1.067,1.108,1.1534,1.1882,1.1925,1.1624,1.1332,1.147,1.2286,1.3521,1.4649,1.534,1.5548,1.5426,1.5194,1.4994,1.4873,1.4729,1.4335,1.3429,1.1819,0.95187,0.67837,0.40576,0.17655,0.016993,-0.07474,-0.11845,-0.13323,-0.13867,-0.14554,-0.15648,-0.16542,-0.15846,-0.11895,-0.042244,0.059011,0.16069,0.24057,0.27463,0.25575,0.18224,0.057092,-0.11435,-0.32513,-0.56374,-0.80049,-0.98237,-1.0363,-0.91356,-0.63428,-0.27606,0.076118,0.36354,0.55958,0.65791,0.67335,0.62732,0.54307
-0.72228,-0.89055,-0.91162,-0.65818,-0.3102,-0.0036445,0.19539,0.23746,0.14399,0.00038608,-0.12778,-0.22947,-0.31866,-0.3888,-0.39196,-0.27176,-0.025249,0.28421,0.57409,0.79234,0.93238,1.0186,1.0797,1.1291,1.1559,1.1506,1.1163,1.0844,1.0934,1.1676,1.2815,1.3888,1.4597,1.4917,1.4987,1.4985,1.4987,1.4995,1.4886,1.4501,1.3658,1.2254,1.0312,0.80142,0.56663,0.35807,0.19197,0.068281,-0.024423,-0.10328,-0.17944,-0.25982,-0.34265,-0.41416,-0.44991,-0.42752,-0.34351,-0.2219,-0.1027,-0.024567,3.4457e-05,-0.031736,-0.10803,-0.21376,-0.33881,-0.47975,-0.63065,-0.78111,-0.88759,-0.89203,-0.75488,-0.4905,-0.16025,0.16491,0.43219,0.61328,0.70477,0.71702,0.6698,0.58586
-0.55135,-0.62384,-0.63793,-0.46921,-0.21301,0.035719,0.20454,0.23297,0.12875,-0.029727,-0.17941,-0.30798,-0.42061,-0.49881,-0.49224,-0.35396,-0.10212,0.19478,0.46956,0.6881,0.84667,0.95556,1.0257,1.0633,1.07,1.0472,1.0098,0.98192,1,1.077,1.1879,1.2906,1.3601,1.3973,1.4192,1.4374,1.4576,1.4735,1.473,1.4428,1.3724,1.2585,1.1042,0.92269,0.73275,0.55174,0.38904,0.24274,0.10653,-0.028005,-0.16689,-0.31283,-0.46093,-0.59168,-0.66978,-0.66329,-0.57042,-0.43122,-0.30403,-0.22929,-0.22756,-0.28196,-0.36363,-0.44633,-0.5175,-0.57856,-0.63777,-0.68832,-0.71242,-0.67149,-0.53165,-0.29478,-0.0035376,0.28388,0.52007,0.68071,0.75839,0.76326,0.71485,0.63528
-0.42718,-0.44029,-0.45242,-0.33954,-0.14383,0.063458,0.20714,0.22159,0.1094,-0.056167,-0.2152,-0.35452,-0.47475,-0.55063,-0.53164,-0.38311,-0.135,0.14433,0.39981,0.61129,0.77848,0.9007,0.97408,0.99829,0.98445,0.94416,0.89996,0.87719,0.90588,0.98892,1.0973,1.1936,1.2585,1.2981,1.3295,1.3627,1.3993,1.4279,1.4367,1.4145,1.3577,1.2691,1.1521,1.0124,0.85795,0.69557,0.53321,0.37314,0.2124,0.048117,-0.12659,-0.31338,-0.50371,-0.67188,-0.77886,-0.78612,-0.69304,-0.54547,-0.40934,-0.33723,-0.34016,-0.40346,-0.49082,-0.56586,-0.6094,-0.62341,-0.61894,-0.6074,-0.57573,-0.49763,-0.34938,-0.13226,0.12336,0.37412,0.58196,0.72362,0.79262,0.79671,0.75197,0.67729
-0.27436,-0.22402,-0.23536,-0.18439,-0.056905,0.097548,0.204,0.19572,0.073529,-0.095384,-0.25685,-0.39879,-0.517,-0.58039,-0.54225,-0.3857,-0.15208,0.095018,0.31714,0.51045,0.67899,0.81034,0.88315,0.88992,0.84733,0.78265,0.72812,0.71427,0.75863,0.85025,0.95258,1.0346,1.0877,1.1274,1.1694,1.2233,1.2809,1.3269,1.347,1.337,1.3037,1.2532,1.1889,1.1059,0.9964,0.86054,0.70106,0.52557,0.34109,0.14758,-0.056277,-0.27261,-0.49471,-0.69745,-0.83363,-0.85845,-0.76684,-0.61055,-0.46714,-0.39182,-0.40811,-0.49051,-0.59003,-0.65834,-0.67053,-0.63053,-0.55984,-0.47347,-0.3797,-0.26752,-0.12032,0.066573,0.27734,0.48287,0.65399,0.77046,0.82723,0.8281,0.78581,0.71643
-0.17355,-0.085855,-0.096567,-0.082006,0.0027968,0.12014,0.19688,0.16854,0.039273,-0.12695,-0.28272,-0.418,-0.52604,-0.57408,-0.5203,-0.36142,-0.14462,0.072389,0.26396,0.43744,0.59954,0.73026,0.79737,0.78919,0.72583,0.64534,0.58726,0.58242,0.63866,0.73383,0.82958,0.89795,0.93961,0.97468,1.0216,1.0857,1.155,1.2121,1.2419,1.246,1.2343,1.2164,1.1898,1.1421,1.0604,0.94073,0.7866,0.60829,0.41724,0.21537,0.0040195,-0.21875,-0.4483,-0.6618,-0.80945,-0.84634,-0.76261,-0.60656,-0.45706,-0.37988,-0.39304,-0.47707,-0.58303,-0.65701,-0.66556,-0.60695,-0.50056,-0.37756,-0.25001,-0.11689,0.03154,0.19998,0.37942,0.55013,0.69102,0.78905,0.83417,0.83276,0.79549,0.73498
-0.061731,0.063821,0.054497,0.033596,0.073416,0.14611,0.18243,0.12574,-0.011623,-0.16781,-0.30614,-0.42234,-0.50681,-0.52782,-0.45398,-0.29721,-0.11084,0.057908,0.20157,0.34149,0.48728,0.61004,0.66439,0.63355,0.54484,0.44967,0.39535,0.40675,0.47539,0.56839,0.64599,0.69064,0.71401,0.74106,0.79028,0.86266,0.94345,1.0123,1.0573,1.0819,1.0987,1.1182,1.133,1.1242,1.0745,0.97232,0.82844,0.65845,0.47246,0.28206,0.080615,-0.1365,-0.36356,-0.57299,-0.72,-0.75196,-0.66243,-0.5043,-0.35704,-0.28093,-0.29949,-0.39155,-0.50741,-0.58949,-0.59795,-0.52586,-0.39638,-0.23802,-0.079549,0.06709,0.20435,0.33947,0.47405,0.60076,0.70725,0.78113,0.81887,0.81918,0.78774,0.73386
